variable,n_samples,r2_v267,r2_v214,r2_v267_se,r2_v214_se,r2_v267_ci_low,r2_v267_ci_high,r2_v214_ci_low,r2_v214_ci_high
ICP: Co (ppm) 228.615 nm ,153,-0.3033489352634007,-0.2637797140504139,0.016007351252397977,0.016007351252397977,-0.3347233437181007,-0.27197452680870066,-0.2951541225051139,-0.23240530559571387
ICP: Cr (ppm),219,0.5916168654866304,0.6745088728630819,0.04245179022624062,0.03612775091399347,0.5084113566431988,0.674822374330062,0.6036984810716547,0.7453192646545092
ICP: Cr (ppm) 205.6 nm ,194,0.7847490036035389,0.847374241534083,0.02738039364521619,0.020174119776088528,0.7310834320589152,0.8384145751481626,0.8078329667729495,0.8869155162952166
ICP: Cr (ppm) 267.7 nm ,346,0.8121713436074365,0.8486972524704369,0.01820026154750183,0.01498701558354896,0.7764988309743329,0.84784385624054,0.819322701926681,0.8780718030141929
ICP: Cu (ppm) 327.395 nm ,131,-0.1734115315506319,-0.2429720100209469,0.017299340321888554,0.017299340321888554,-0.20731823858153348,-0.13950482451973034,-0.27687871705184847,-0.20906530299004533
ICP: Fe2O3 (wt%) 239.563 nm ,156,0.2636631990807897,-0.1793544038298107,0.06054370041831516,0.015852687226703625,0.144997546260892,0.38232885190068744,-0.21042567079414978,-0.1482831368654716
ICP: Fe2O3t (wt%),226,0.4757359825586658,0.5483898911876177,0.04810706125009825,0.04449222767878129,0.3814461425084732,0.5700258226088584,0.46118512493720637,0.635594657438029
ICP: Fe2O3t (wt%) 238.2 nm ,200,0.4376919544720706,0.1319271119809418,0.0526106390482091,0.04459007654861632,0.3345751019375808,0.5408088070065604,0.04453056194565383,0.2193236620162298
ICP: Fe2O3t (wt%) 239.6 nm ,291,0.2256286957390393,0.2642446486991044,0.043125080490264436,0.044342485347201685,0.141103537978121,0.3101538534999576,0.17733337741858912,0.3511559199796197
ICP: Fe2O3t (wt%) 259.9 nm ,119,0.5725906436728789,0.572688989159053,0.05929562670612911,0.05928707375681877,0.4563712153288659,0.6888100720168919,0.45648632459568816,0.6888916537224178
ICP: K2O (wt%),243,0.9138200263183576,0.9239344329968966,0.010569721679440057,0.0093807063691253,0.8931033718266551,0.93453668081006,0.905548248513411,0.9423206174803822
ICP: K2O (wt%) 766.491 nm ,156,0.2354565326213744,0.2250452195245816,0.05940530779789553,0.058867955664041634,0.11902212933749916,0.3518909359052496,0.10966402642305999,0.3404264126261032
ICP: K2O (wt%) 766.5 nm ,221,0.7816573614119925,0.8379451890806112,0.02597051873161158,0.019957383060336564,0.7307551446980338,0.8325595781259512,0.7988287182823516,0.8770616598788709
ICP: K2O (wt%) 769.9 nm ,206,0.8357298367782304,0.8739891771939724,0.020926087061564947,0.016415618865733613,0.7947147061375631,0.8767449674188977,0.8418145642171345,0.9061637901708103
ICP: LOI (wt%),742,0.4962310360183535,0.5814246271788471,0.02605562005506438,0.02343410800968858,0.4451620207104273,0.5473000513262797,0.5354937754798575,0.6273554788778367
ICP: MgO (wt%),255,0.5332537267616846,0.6094559791868492,0.04268818736414602,0.03818572755922411,0.4495848795279584,0.6169225739954107,0.53461195317077,0.6843000052029284
ICP: MgO (wt%) 202.582 nm ,156,0.1853771192984339,-0.0167766356273375,0.05616326732970951,0.015852687226703625,0.07529711533220325,0.29545712326466456,-0.04784790259167661,0.014294631337001606
ICP: MgO (wt%) 280.3 nm ,257,0.8058949417523362,0.8303999238451415,0.021738996964919897,0.019281158611932782,0.7632865077010932,0.8485033758035793,0.7926088529657532,0.8681909947245298
ICP: MgO (wt%) 285.2 nm ,327,0.8444713828687426,0.8849268850007935,0.01580734377450422,0.011972467964205816,0.8134889890707143,0.8754537766667708,0.8614608477909501,0.9083929222106369
ICP: MgO 285.2 nm ,114,0.7155407833187137,0.781153267648262,0.04507282467780401,0.03623145402900825,0.6271980469502179,0.8038835196872096,0.7101396177514058,0.8521669175451182
ICP: MnO (wt%),255,0.4249520252751757,0.3188942743688641,0.04694982041095951,0.04817234604578179,0.3329303772696951,0.5169736732806564,0.22447647611913177,0.41331207261859637
ICP: MnO (wt%) 257.6 nm ,324,0.151759605561176,0.3309455174890778,0.03671593019213602,0.042765861669210974,0.07979638238458939,0.22372282873776259,0.24712442861742429,0.4147666063607313
ICP: MnO (wt%) 259.372 nm ,156,0.6567398575452041,0.7188150642766307,0.04454385112386111,0.03817405821747023,0.5694339093424363,0.744045805747972,0.643993910170389,0.7936362183828723
ICP: MnO (wt%) 259.4 nm ,212,0.2248975032493501,0.7068250355987578,0.05049094720090352,0.03385672204966061,0.1259352467355792,0.323859759763121,0.640465860381423,0.7731842108160926
ICP: MnO 257.6 nm ,114,0.5287952807699088,0.6061019478658427,0.06418462182359581,0.05744262037952538,0.402993421995661,0.6545971395441565,0.493514411921973,0.7186894838097124
ICP: Na2O (wt%),248,0.0176600374915194,0.1181546236949452,0.016579131558878763,0.038496563085436905,-0.014835060363882973,0.05015513534692177,0.04270136004748887,0.19360788734240153
ICP: Na2O (wt%) 588.995 nm ,156,0.6151145608451931,0.7139908445661194,0.0483367205162276,0.038698484130675156,0.520374588633387,0.7098545330569992,0.6381418156699961,0.7898398734622427
ICP: Na2O (wt%) 589 nm ,265,0.5306363641126313,0.6435098660738993,0.04200635539623625,0.03513437064952098,0.44830390753600824,0.6129688206892543,0.5746464996008381,0.7123732325469604
ICP: Na2O (wt%) 589.6 nm ,306,0.473213944687802,0.582554642966594,0.04143165861107103,0.03642816134395026,0.39200789381010276,0.5544199955655011,0.5111554467324515,0.6539538392007365
ICP: Ni (ppm) 221.6 nm ,134,0.7956185358116434,0.8190827142683859,0.03149717104195397,0.028289256949604033,0.7338840805694137,0.8573529910538732,0.7636357706471619,0.8745296578896098
ICP: Ni (ppm) 231.604 nm ,103,-1.114124392599556,-1.7742910589808312,0.019509519707653005,0.019509519707653005,-1.152363051226556,-1.0758857339725563,-1.812529717607831,-1.7360524003538313
ICP: P2O5 (wt%),154,-0.0393161955794909,-0.0444507719889406,0.015955294687702532,0.015955294687702532,-0.07058857316738787,-0.008043817991593934,-0.07572314957683757,-0.013178394401043639
ICP: P2O5 (wt%) 177.434 nm ,156,0.0982396367711718,0.156437411659717,0.04525871430946937,0.05342632701211894,0.009532556724611826,0.18694671681773178,0.05172181071596388,0.2611530126034701
ICP: Rb (ppm),113,0.0912307162538131,-2.492702316910605,0.051643415331425004,0.01862627319399523,-0.009990377795779909,0.1924518103034061,-2.5292098123708353,-2.4561948214503744
ICP: Sc (ppm),194,0.6444773369472289,0.6871973536650808,0.04098266971790357,0.03723405093081419,0.5641513043001378,0.7248033695943199,0.614218613840685,0.7601760934894767
ICP: Sc (ppm) 361.383 nm ,156,-0.0387806489553341,-0.1666177713320396,0.015852687226703625,0.015852687226703625,-0.0698519159196732,-0.007709381990994992,-0.19768903829637868,-0.1355465043677005
ICP: Sc (ppm) 361.4 nm ,259,0.4093031692982176,0.5323042130528486,0.04696424100886572,0.0424056303359646,0.3172532569208408,0.5013530816755944,0.44918917759435795,0.6154192485113392
ICP: SiO2 (wt%),255,0.5200220881077903,0.6277563134058549,0.043350294569316945,0.036938800674012444,0.43505551075192905,0.6049886654636515,0.5553562640847906,0.7001563627269193
ICP: SiO2 (wt%) 221.667 nm ,156,0.2516181140175572,-0.195800191440808,0.060112102059993365,0.015852687226703625,0.13379839397997018,0.3694378340551442,-0.2268714584051471,-0.16472892447646892
ICP: SiO2 (wt%) 250.7 nm ,281,0.5959867888106127,0.6132509597974052,0.03721266033589745,0.03613476199890298,0.5230499745522538,0.6689236030689717,0.5424268262795553,0.6840750933152551
ICP: SiO2 (wt%) 251.6 nm ,281,0.6232271225710839,0.6388315179994748,0.03548784603678964,0.034441324680789684,0.5536709443389762,0.6927833008031916,0.571326521625127,0.7063365143738226
ICP: SiO2 (wt%) 288.2 nm ,314,0.2050821903496678,0.4303034837915201,0.040630425682691707,0.04217898905876149,0.12544655601159205,0.28471782468774354,0.3476326652363476,0.5129743023466926
ICP: SiO2 251.6 nm ,114,0.8090377723665948,0.8368691259972575,0.03217432477861533,0.027953906359116477,0.7459760958005087,0.8720994489326809,0.7820794695333892,0.8916587824611257
ICP: Sr (ppm),249,0.6879943488837339,0.6984260509846214,0.03280085903268481,0.0319436368603007,0.6237046651796717,0.7522840325877961,0.635816522738432,0.7610355792308108
ICP: Sr (ppm) 407.771 nm ,156,0.0220966088792811,0.0538475527208036,0.02327697086003831,0.03515699915920411,-0.023526254006393982,0.06771947176495619,-0.01506016563123646,0.12275527107284365
ICP: Sr (ppm) 407.8 nm ,247,0.2185295706993187,0.228190009303505,0.046488889739296095,0.04691807963533318,0.12741134681029836,0.309647794588339,0.13623057321825197,0.320149445388758
ICP: Sr (ppm) 421.6 nm ,382,0.5628627214116826,0.5752520214766494,0.03355964835142079,0.03296542746066353,0.4970858106428978,0.6286396321804674,0.510639783653749,0.6398642592995499
ICP: Sr 407.8 nm ,113,0.906411757154157,0.8871599241187557,0.016763891152866642,0.019996551270817713,0.8735545304945384,0.9392689838137757,0.8479666836279529,0.9263531646095584
ICP: TiO2 (wt%),255,0.3007962017724751,0.4785905178430105,0.04802859234979889,0.04517736275041471,0.2066601607668693,0.3949322427780809,0.3900428868521977,0.5671381488338233
ICP: TiO2 (wt%) 334.941 nm ,156,0.2448907224105554,0.2302083322034616,0.05983615367516352,0.059142737389061055,0.1276118612072349,0.3621695836138759,0.11428856692090193,0.34612809748602125
ICP: TiO2 (wt%) 336.1 nm ,200,0.6201501257263093,0.4227900057585779,0.04230341257174009,0.05307759010949944,0.5372354370856988,0.7030648143669199,0.318757929143959,0.5268220823731968
ICP: TiO2 (wt%) 337.3 nm ,237,0.6311918679347255,0.6537173635484341,0.038065979433625885,0.03637320315860837,0.5565825482448188,0.7058011876246322,0.5824258853575617,0.7250088417393066
ICP: TiO2 337.3 nm ,114,0.9172055722208275,0.9600049999992606,0.01485292613185339,0.00734040493661856,0.8880938370023949,0.9463173074392602,0.9456178063234882,0.9743921936750329
ICP: V (ppm),255,0.623458417937125,0.7694859453598526,0.03723716378733191,0.02532547858995666,0.5504735769139544,0.6964432589602956,0.7198480073235376,0.8191238833961676
ICP: V (ppm) 292.4 nm ,167,0.8958450589470044,0.9270412109080384,0.01525696285505028,0.01087173600015874,0.8659414117511058,0.9257487061429029,0.9057326083477273,0.9483498134683495
ICP: V (ppm) 292.401 nm ,156,0.3510958755182273,0.119452939766785,0.06156885752611023,0.04873249973911686,0.23042091476705123,0.47177083626940336,0.023937240278115973,0.21496863925545404
ICP: V (ppm) 310.2 nm ,203,0.2222976948440076,0.5034920244369987,0.051471028037052544,0.049454350619452615,0.12141447989138462,0.3231809097966306,0.4065614972228716,0.6004225516511258
ICP: Y (ppm),124,0.0726311407225372,-0.0273264855865116,0.04488829336226796,0.017780924900650717,-0.015349914267508008,0.1606121957125824,-0.062177098391787006,0.007524127218763804
ICP: Y (ppm) 371.029 nm ,156,-0.1786710977081036,-0.0384565604178059,0.015852687226703625,0.015852687226703625,-0.2097423646724427,-0.1475998307437645,-0.06952782738214501,-0.0073852934534667965
ICP: Zn (ppm),234,-0.1446246019432364,-0.0711320802248736,0.012943664919120147,0.012943664919120147,-0.16999418518471188,-0.11925501870176092,-0.09650166346634909,-0.04576249698339812
ICP: Zn (ppm) 206.2 nm ,143,0.0013536953882941,0.0144026120900238,0.016557591798140397,0.01978254456203001,-0.03109918453606108,0.03380657531264928,-0.024371175251555018,0.053176399431602614
ICP: Zn (ppm) 213.9 nm ,131,-3.027792758132554,-1.857522857087416,0.017299340321888554,0.017299340321888554,-3.0616994651634553,-2.9938860511016525,-1.8914295641183176,-1.8236161500565145
ICP: Zr (ppm),210,0.5168690683831435,0.6171765013661313,0.047937509028892954,0.041507218131646435,0.4229115506865133,0.6108265860797737,0.5358223538281043,0.6985306489041584
ICP: Zr (ppm) 327.307 nm ,156,-0.3700546544924026,-0.5312110314552849,0.015852687226703625,0.015852687226703625,-0.4011259214567417,-0.3389833875280635,-0.5622822984196241,-0.5001397644909458
ICP: Zr (ppm) 339.2 nm ,157,0.603285977147642,0.5655134547617521,0.04918348934928194,0.052152841160974406,0.5068863380230494,0.6996856162722346,0.4632938860862422,0.6677330234372619
IW: Alkalinity (mM) ALKALINITY,1711,0.4562795873013587,0.5321094703025226,0.01775808575082208,0.01650249994892285,0.4214737392297474,0.49108543537297,0.4997645704026339,0.5644543702024114
IW: Ammonium (uM) SPEC ,1253,0.4239227286141496,0.4382476319418722,0.021192322384808334,0.02101160176880541,0.38238577673992524,0.46545968048837394,0.39706489247501364,0.4794303714087308
IW: B (uM) 249.7 nm ICPAES ,219,0.5930858604521131,0.4032805224009901,0.04235156901828291,0.05121318379678287,0.5100767851762786,0.6760949357279475,0.30290268215929567,0.5036583626426845
IW: B (uM) 249.8 nm ICPAES ,517,0.4515013662987346,0.4612919041600649,0.03241826803171091,0.032182971653771764,0.38796156095658124,0.515041171640888,0.3982132797186722,0.5243705286014575
IW: B (uM) ICPAES ,329,0.4955520064935169,0.6122051524793952,0.03915552623409636,0.033456659112782804,0.418807175074688,0.5722968379123458,0.5466301006183409,0.6777802043404495
IW: B 249.7 nm ICPAES ,221,0.1806568238727128,0.5872198722849857,0.046851865211731174,0.04255523685122774,0.08882716805771972,0.2724864796877059,0.5038116080565793,0.6706281365133921
IW: B 249.8 nm ICPAES ,264,0.7078285146628278,0.817862651437691,0.030257280241139235,0.020275297269164234,0.6485242453901949,0.7671327839354607,0.778123068790129,0.8576022340852529
IW: Ba (uM) 455.4 nm ICPAES ,247,0.7411724436096974,-3.914694278316072,0.02835643717047954,0.0125984383069204,0.6855938267555575,0.7967510604638373,-3.939387217397636,-3.890001339234508
IW: Ba (uM) 493.4 nm ICPAES ,488,0.4704660581486155,0.5303608725834266,0.03288349996223898,0.030964929486107594,0.4060143982226271,0.5349177180746039,0.46966961079065567,0.5910521343761974
IW: Ba (uM) ICPAES ,329,0.1240350179185038,0.2058678685328635,0.03401660355205801,0.03973004885767765,0.057362474956470094,0.1907075608805375,0.12799697277181532,0.2837387642939117
IW: Ba 455.4 nm ICPAES ,241,0.0198277418614457,0.0539741746897515,0.01778117715779458,0.028315059058363363,-0.015023365367831682,0.05467884909072308,-0.001523341064640693,0.10947169044414369
IW: Ba 493.4 nm ICPAES ,240,0.6458816589056726,0.2494151640954381,0.03674085612482607,0.04839333899180881,0.5738695809010135,0.7178937369103318,0.15456421967149284,0.34426610851938333
IW: Bromide (mM) IC ,1777,0.1471635942761694,0.3113492290784593,0.01552216179914176,0.0182309465217749,0.11674015714985156,0.17758703140248724,0.2756165738957805,0.3470818842611381
IW: Ca (mM) 318.127 nm ICPAES ,111,0.7178166342281238,0.798778131955058,0.04538440797787564,0.034139469331462315,0.6288631945914875,0.8067700738647601,0.7318647720653918,0.8656914918447242
IW: Ca (mM) 393.4 nm ICPAES ,152,0.8165881484037848,0.7166203109115408,0.026886677203365173,0.0389153981091804,0.7638902610851891,0.8692860357223805,0.6403461306175472,0.7928944912055343
IW: Ca (mM) 396.8 nm ICPAES ,152,0.8133836507464534,0.7087677567114826,0.027302700821501248,0.03977403333359653,0.7598703571363109,0.8668969443565958,0.6308106513776335,0.7867248620453318
IW: Ca (mM) IC ,1652,0.5721140907537553,0.5726311923164265,0.015925544180243566,0.015913484884419293,0.5409000241604779,0.6033281573470327,0.5414407619429646,0.6038216226898883
IW: Ca (mM) ICPAES ,278,0.3350806828136226,0.3431867401777638,0.046169082471955065,0.04615457531827169,0.24458928116859063,0.4255720844586545,0.2527237725539513,0.4336497078015763
IW: Ca 315.9 nm ICPAES ,197,0.503949579192999,0.684454803070043,0.05017833520899012,0.0371989639492964,0.40560004218337836,0.6022991162026197,0.611544833729422,0.757364772410664
IW: Ca 317.9 nm ICPAES ,214,0.6831448633351769,0.8093110780268966,0.03580471858213051,0.023453427247676174,0.612967614914201,0.7533221117561527,0.7633423606214513,0.8552797954323419
IW: Chloride (mM) IC ,1789,0.0431695358298929,0.3247229912418411,0.009400447084529367,0.018195471264006557,0.02474465954421534,0.06159441211557046,0.2890598675643883,0.36038611491929395
IW: Chloride (mM) TITRA_MAN,1600,0.2146181176125272,0.3046928709609412,0.01819215189750072,0.01919012630084147,0.17896149989342577,0.2502747353316286,0.26708022341129195,0.3423055185105905
IW: Fe (uM) 259.9 nm ICPAES ,261,0.1580858039596319,-0.1528590066033075,0.0414404068555416,0.012255892319685423,0.07686260652277035,0.23930900139649344,-0.17688055554989093,-0.12883745765672408
IW: Fe (uM) ICPAES ,204,0.2206563212989112,0.3669995438179474,0.05126277544756079,0.05369720702652067,0.12018128142169204,0.32113136117613034,0.2617530180459669,0.47224606958992793
IW: Fe 238.2 nm ICPAES ,197,0.3142760384106629,0.2878467353374414,0.05477745403421516,0.05444412296696903,0.20691222850360116,0.4216398483177246,0.18113625432218206,0.3945572163527007
IW: Fe 239.6 nm ICPAES ,188,-18.557854508774174,-2.475631642818364,0.014440634158291561,0.014440634158291561,-18.586158151724426,-18.52955086582392,-2.5039352857686152,-2.4473279998681123
IW: Fe 259.9 nm ICPAES ,182,-0.9507603676371008,-0.8949695435342329,0.014676736469889803,0.014676736469889803,-0.9795267711180848,-0.9219939641561168,-0.9237359470152169,-0.8662031400532488
IW: K (mM) 766.491 nm ICPAES ,111,0.6462647751803174,0.6203895280278536,0.053982383694376794,0.05675954689935573,0.540459303139339,0.7520702472212959,0.5091408161051164,0.7316382399505909
