variable,n_samples,n_used,r2_v267,r2_v214
IW: Na (mM) 589 nm ICPAES ,182,182,0.785211470590639,0.8137968942477372
IW: Na (mM) 589.6 nm ICPAES ,186,186,0.8642973334934445,0.7595980634821565
IW: Na (mM) IC ,1650,1650,0.1454854210896156,0.3159706477318315
IW: Na (mM) ICPAES ,278,278,-0.022525065457885907,0.012119505026171318
IW: Na 589 nm ICPAES ,144,144,0.03938331643488191,0.01489612453301925
IW: Na 589.6 nm ICPAES ,250,250,0.018918912180880265,0.00925800796630849
IW: Phosphate (uM) SPEC ,1095,1095,0.3091351013087017,0.2948083540841787
IW: Salinity (none) SALINITY,1664,1664,-0.07381905341050321,0.24733905976857806
IW: Si (uM) 251.6 nm ICPAES ,184,184,0.5784180452730352,0.678464518626704
IW: Si (uM) 288.2 nm ICPAES ,468,468,0.4557186252455634,0.5356778888895044
IW: Si (uM) ICPAES ,334,334,0.08390570121470053,0.04979980218371838
IW: Si 250.7 nm ICPAES ,225,225,0.24449062225873675,0.4346280820795937
IW: Si 288.158 nm ICPAES ,103,103,0.2977721513276623,0.30550221547359
IW: Si 288.2 nm ICPAES ,254,254,0.4533303312979263,0.4035929150354114
IW: Silica (uM) SPEC ,429,429,0.48399151784653305,0.5344668889688209
IW: Sr (uM) 407.8 nm ICPAES ,222,222,0.6651353940835457,0.5411720436060581
IW: Sr (uM) 421.6 nm ICPAES ,443,443,0.7296732861442259,0.6708747342256692
IW: Sr (uM) 460.7 nm ICPAES ,141,141,0.6220844905868431,0.8261876686505418
IW: Sr (uM) ICPAES ,334,334,-0.006533911260641956,-0.004277994328274248
IW: Sr 407.8 nm ICPAES ,285,285,0.4911507992854921,0.5697736186844596
IW: Sr 421.552 nm ICPAES ,103,103,0.4317327497701795,0.4937349689445928
IW: Sr 421.6 nm ICPAES ,248,248,-0.020932968785975614,0.08887700531083687
IW: Sr 460.7 nm ICPAES ,178,178,0.37382086373302836,0.4611708260045859
IW: Sulfate (mM) IC ,1748,1748,0.34157808256516053,0.5856289195781661
IW: pH (none) ALKALINITY,1710,1710,0.4735003361543778,0.55527456344332
JR6A: Azimuth,26462,26462,-0.07144741322920023,-0.1324964319695212
JR6A: Declination (deg),26462,26462,0.34366127787949263,0.3407279722741915
JR6A: Declination (geographic) (deg),23489,23489,0.6879681624276764,0.6950544039294841
JR6A: Dip,26462,26462,0.9172486188986596,0.9207046796052262
JR6A: Inclination (deg),26462,26462,0.5818018392840296,0.5802445425820394
JR6A: Inclination (geographic) (deg),23489,23489,0.6128110576120136,0.6153997783061125
JR6A: Intensity X (A/m),15394,15394,0.24258555118296155,0.24236622573823652
JR6A: Intensity Y (A/m),15394,15394,-0.10809505008907894,-0.10809585738150007
JR6A: Intensity Z (A/m),15394,15394,0.15455644075001118,0.15448129398614452
JR6A: Raw data .csv file,8554,8554,0.9945899788334689,0.994673333832011
JR6A: Raw data .dat file,17899,17899,0.9968006711077294,0.997176286314082
JR6A: Raw data .jr6 file,26459,26459,0.9961041325403559,0.9973628411860482
JR6A: Raw data .jr6odp file,17905,17905,0.9964140202184262,0.9968417120230886
JR6A: Raw data .txt file,26457,26457,0.996590839448255,0.9969689575995965
JR6A: Sample volume (cm^3),4911,4911,0.9999994959121125,0.9999995101991684
JR6A: Total intensity (A/m),26462,26462,0.21707578673837025,0.2175313283187993
JR6A: Treatment value (mT or deg-C),26462,26462,0.12641711976733816,0.12003379773066358
KAPPA: Bulk susceptibility (SI),273,273,0.9995587485269415,0.9995587004494699
KAPPA: Holder susceptibility (SI),1090,1090,0.39183301859853825,0.4327050460422299
KAPPA: Kint dec (deg),1069,1069,-0.10335790447427806,-0.08029304567736206
KAPPA: Kint inc (deg),1069,1069,-0.06537739123170505,-0.08354815502454094
KAPPA: Kint susc (SI),1069,1069,-1.175769115452042,-1.267503434900647
KAPPA: Kmax dec (deg),1069,1069,-0.0673780659758485,-0.06370015767663695
KAPPA: Kmax inc (deg),1069,1069,0.22577574941281786,0.27796526022665835
KAPPA: Kmax susc (SI),1069,1069,-42.78514481019222,-42.65727816320921
KAPPA: Kmin dec (deg),1069,1069,-0.17577217038798,-0.1693819153429985
KAPPA: Kmin inc (deg),1069,1069,0.32913351152247483,0.3369218166246043
KAPPA: Kmin susc (SI),1069,1069,-0.9608162876525064,-1.0364801023894628
KAPPA: Mean susceptibility (SI),1069,1069,0.7720797621911877,0.750529506729803
KAPPA: Measurement field (A/m),1342,1342,0.5005965310746551,0.5031837243831853
KAPPA: Original binary ASMAN file,1069,1069,0.6663226863181625,0.8329300417148578
KAPPA: Original data ASMAN file,1102,1102,0.7404617507721434,0.8695078751407714
KAPPA: Sample volume (cc),1069,1069,0.17331740216522817,0.30010186891070145
MAD: Bulk density (g/cm^3),12113,12113,0.6957997106573784,0.7489983966335971
MAD: Container number,12113,12113,0.6703530054323994,0.7513170863432667
MAD: Dry density (g/cm^3),12113,12113,0.7011711736295667,0.7540168132729927
MAD: Grain density (g/cm^3),12113,12113,0.23946326004097085,0.27181887655285
MAD: Mass dried sample (g),12113,12113,0.5173382136715381,0.5736012321371681
MAD: Mass porewater (g),12113,12113,0.5447095617093991,0.6282140304462758
